2010,Actress -- Leading Role,Natalie Portman
2010,Actress -- Supporting Role,Melissa Leo
2011,Actor -- Leading Role,Jean Dujardin
2011,Actor -- Supporting Role,Christopher Plummer
2011,Actress -- Leading Role,Meryl Streep
2011,Actress -- Supporting Role,Octavia Spencer
2012,Actor -- Leading Role,Daniel Day-Lewis
2012,Actor -- Supporting Role,Christoph Waltz
2012,Actress -- Leading Role,Jennifer Lawrence
2012,Actress -- Supporting Role,Anne Hathaway
2013,Actor -- Leading Role,Matthew McConaughey
2013,Actor -- Supporting Role,Jared Leto
2013,Actress -- Leading Role,Cate Blanchett
2013,Actress -- Supporting Role,Lupita Nyong'o
2014,Actor -- Leading Role,Eddie Redmayne
2014,Actor -- Supporting Role,J.K. Simmons
2014,Actress -- Leading Role,Julianne Moore
2014,Actress -- Supporting Role,Patricia Arquette
2015,Actor -- Leading Role,Leonardo DiCaprio
2015,Actor -- Supporting Role,Mark Rylance
2015,Actress -- Leading Role,Brie Larson
2015,Actress -- Supporting Role,Alicia Vikander
2016,Actor -- Leading Role,Casey Affleck
2016,Actor -- Supporting Role,Mahershala Ali
2016,Actress -- Leading Role,Emma Stone
2016,Actress -- Supporting Role,Viola Davis
2017,Actor -- Leading Role,Gary Oldman
2017,Actor -- Supporting Role,Sam Rockwell
2017,Actress -- Leading Role,Frances McDormand
2017,Actress -- Supporting Role,Allison Janney
2018,Actor -- Leading Role,Rami Malek
2018,Actor -- Supporting Role,Mahershala Ali
2018,Actress -- Leading Role,Olivia Colman
2018,Actress -- Supporting Role,Regina King
2019,Actor -- Leading Role,Joaquin Phoenix
2019,Actor -- Supporting Role,Brad Pitt
2019,Actress -- Leading Role,Renee Zellweger
2019,Actress -- Supporting Role,Laura Dern
